"","survey_id","prepost","questionnaire","item_nbr","item_id","response","subscale","subscale_item_nbr","timestamp","under_represented","attend_sciexpo_this_year","attend_sciexpo_last_year","current_grade","ap_science_enrolled","score"
"64",118,"pre","ssi",4,"i1","Somewhat agree","Interest","1",2025-10-03 10:15:04.634,"Non-
HURM","Yes","No","11th Grade (Junior)","Yes",4
"65",118,"pre","ssi",5,"i2","Somewhat agree","Interest","2",2025-10-03 10:15:04.634,"Non-
HURM","Yes","No","11th Grade (Junior)","Yes",4
"66",118,"pre","ssi",6,"i3","Strongly agree","Interest","3",2025-10-03 10:15:04.634,"Non-
HURM","Yes","No","11th Grade (Junior)","Yes",5
"67",118,"pre","ssi",7,"p3","Somewhat agree","Peformance","3",2025-10-03 10:15:04.634,"Non-
HURM","Yes","No","11th Grade (Junior)","Yes",4
"68",118,"pre","ssi",8,"r2","Neither agree nor disagree","Recognition","2",2025-10-03 10:15:04.634,"Non-
HURM","Yes","No","11th Grade (Junior)","Yes",3
"69",118,"pre","ssi",9,"c3","Somewhat agree","Competence","3",2025-10-03 10:15:04.634,"Non-
HURM","Yes","No","11th Grade (Junior)","Yes",4
"70",118,"pre","ssi",10,"p4","Somewhat agree","Peformance","4",2025-10-03 10:15:04.634,"Non-
HURM","Yes","No","11th Grade (Junior)","Yes",4
"71",118,"pre","ssi",11,"r3","Neither agree nor disagree","Recognition","3",2025-10-03 10:15:04.634,"Non-
HURM","Yes","No","11th Grade (Junior)","Yes",3
"72",118,"pre","ssi",12,"i5","Somewhat agree","Interest","5",2025-10-03 10:15:04.634,"Non-
HURM","Yes","No","11th Grade (Junior)","Yes",4
"73",118,"pre","ssi",13,"r4","Neither agree nor disagree","Recognition","4",2025-10-03 10:15:04.634,"Non-
HURM","Yes","No","11th Grade (Junior)","Yes",3
"74",118,"pre","ssi",14,"i6","Neither agree nor disagree","Interest","6",2025-10-03 10:15:04.634,"Non-
HURM","Yes","No","11th Grade (Junior)","Yes",3
"75",118,"pre","ssi",15,"c5","Somewhat agree","Competence","5",2025-10-03 10:15:04.634,"Non-
HURM","Yes","No","11th Grade (Junior)","Yes",4
"76",118,"pre","ssi",16,"c6","Somewhat agree","Competence","6",2025-10-03 10:15:04.634,"Non-
HURM","Yes","No","11th Grade (Junior)","Yes",4
"77",118,"post","feelings_change_after_sciexpo",NA,NA,"I saw myself being represented as a scientist.","feelings_change_after_sciexpo",NA,2025-10-28 10:05:13.487,"Non-
HURM","Yes","No","11th Grade (Junior)","Yes",NA
"78",118,"post","likely_become_scientist",NA,NA,"Somewhat likely","likely_become_scientist",NA,2025-10-28 10:05:13.487,"Non-
HURM","Yes","No","11th Grade (Junior)","Yes",4
"79",118,"post","represented_in_science",NA,NA,"Mostly represented","represented_in_science",NA,2025-10-28 10:05:13.487,"Non-
HURM","Yes","No","11th Grade (Junior)","Yes",4
"80",118,"post","sciexpo_most_valuable_aspects",NA,NA,"I saw people who changed their careers throughout their life to become a scientist, this enlightened my view on my possibilities as a scientist and other careers","sciexpo_most_valuable_aspects",NA,2025-10-28 10:05:13.487,"Non-
HURM","Yes","No","11th Grade (Junior)","Yes",NA
"81",118,"post","sciexpo_other_comments",NA,NA,"N/A","sciexpo_other_comments",NA,2025-10-28 10:05:13.487,"Non-
HURM","Yes","No","11th Grade (Junior)","Yes",NA
"82",118,"post","sciexpo_what_to_improve",NA,NA,"N/A","sciexpo_what_to_improve",NA,2025-10-28 10:05:13.487,"Non-
HURM","Yes","No","11th Grade (Junior)","Yes",NA
"83",118,"post","ssi",1,"p1","Somewhat agree","Peformance","1",2025-10-28 10:05:13.487,"Non-
HURM","Yes","No","11th Grade (Junior)","Yes",4
"84",118,"post","ssi",2,"c1","Neither agree nor disagree","Competence","1",2025-10-28 10:05:13.487,"Non-
HURM","Yes","No","11th Grade (Junior)","Yes",3
"85",118,"post","ssi",3,"r1","Neither agree nor disagree","Recognition","1",2025-10-28 10:05:13.487,"Non-
HURM","Yes","No","11th Grade (Junior)","Yes",3
"86",118,"post","ssi",4,"i1","Somewhat agree","Interest","1",2025-10-28 10:05:13.487,"Non-
HURM","Yes","No","11th Grade (Junior)","Yes",4
"87",118,"post","ssi",5,"i2","Somewhat agree","Interest","2",2025-10-28 10:05:13.487,"Non-
HURM","Yes","No","11th Grade (Junior)","Yes",4
"88",118,"post","ssi",6,"i3","Somewhat agree","Interest","3",2025-10-28 10:05:13.487,"Non-
HURM","Yes","No","11th Grade (Junior)","Yes",4
