"","survey_id","under_represented","attend_sciexpo_this_year","attend_sciexpo_last_year","prepost","questionnaire","item_nbr","item_id","response","subscale","subscale_item_nbr","timestamp","current_grade","ap_science_enrolled","score","session_completed"
"716",232,"HURM","Yes","Yes","post","ssi",12,"i5","Somewhat agree","Interest","5",2025-10-28 10:05:30.624,"12th Grade (Senior)","Yes",4,"pre & post"
"717",232,"HURM","Yes","Yes","post","ssi",13,"r4","Neither agree nor disagree","Recognition","4",2025-10-28 10:05:30.624,"12th Grade (Senior)","Yes",3,"pre & post"
"718",232,"HURM","Yes","Yes","post","ssi",14,"i6","Somewhat disagree","Interest","6",2025-10-28 10:05:30.624,"12th Grade (Senior)","Yes",2,"pre & post"
"719",232,"HURM","Yes","Yes","post","ssi",15,"c5","Somewhat agree","Competence","5",2025-10-28 10:05:30.624,"12th Grade (Senior)","Yes",4,"pre & post"
"720",232,"HURM","Yes","Yes","post","ssi",16,"c6","Somewhat agree","Competence","6",2025-10-28 10:05:30.624,"12th Grade (Senior)","Yes",4,"pre & post"
"721",233,"HURM","Yes","Yes","pre","likely_become_scientist",NA,NA,"Somewhat likely","likely_become_scientist",NA,2025-10-03 10:17:42.371,"11th Grade (Junior)","No",4,"pre & post"
"722",233,"HURM","Yes","Yes","pre","represented_in_science",NA,NA,"Somewhat represented","represented_in_science",NA,2025-10-03 10:17:42.371,"11th Grade (Junior)","No",3,"pre & post"
"723",233,"HURM","Yes","Yes","pre","ssi",1,"p1","Somewhat disagree","Peformance","1",2025-10-03 10:17:42.371,"11th Grade (Junior)","No",2,"pre & post"
"724",233,"HURM","Yes","Yes","pre","ssi",2,"c1","Somewhat disagree","Competence","1",2025-10-03 10:17:42.371,"11th Grade (Junior)","No",2,"pre & post"
"725",233,"HURM","Yes","Yes","pre","ssi",3,"r1","Somewhat disagree","Recognition","1",2025-10-03 10:17:42.371,"11th Grade (Junior)","No",2,"pre & post"
"726",233,"HURM","Yes","Yes","pre","ssi",4,"i1","Strongly agree","Interest","1",2025-10-03 10:17:42.371,"11th Grade (Junior)","No",5,"pre & post"
"727",233,"HURM","Yes","Yes","pre","ssi",5,"i2","Neither agree nor disagree","Interest","2",2025-10-03 10:17:42.371,"11th Grade (Junior)","No",3,"pre & post"
"728",233,"HURM","Yes","Yes","pre","ssi",6,"i3","Strongly agree","Interest","3",2025-10-03 10:17:42.371,"11th Grade (Junior)","No",5,"pre & post"
"729",233,"HURM","Yes","Yes","pre","ssi",7,"p3","Neither agree nor disagree","Peformance","3",2025-10-03 10:17:42.371,"11th Grade (Junior)","No",3,"pre & post"
"730",233,"HURM","Yes","Yes","pre","ssi",8,"r2","Neither agree nor disagree","Recognition","2",2025-10-03 10:17:42.371,"11th Grade (Junior)","No",3,"pre & post"
"731",233,"HURM","Yes","Yes","pre","ssi",9,"c3","Neither agree nor disagree","Competence","3",2025-10-03 10:17:42.371,"11th Grade (Junior)","No",3,"pre & post"
"732",233,"HURM","Yes","Yes","pre","ssi",10,"p4","Somewhat disagree","Peformance","4",2025-10-03 10:17:42.371,"11th Grade (Junior)","No",2,"pre & post"
"733",233,"HURM","Yes","Yes","pre","ssi",11,"r3","Somewhat agree","Recognition","3",2025-10-03 10:17:42.371,"11th Grade (Junior)","No",4,"pre & post"
"734",233,"HURM","Yes","Yes","pre","ssi",12,"i5","Neither agree nor disagree","Interest","5",2025-10-03 10:17:42.371,"11th Grade (Junior)","No",3,"pre & post"
"735",233,"HURM","Yes","Yes","pre","ssi",13,"r4","Somewhat disagree","Recognition","4",2025-10-03 10:17:42.371,"11th Grade (Junior)","No",2,"pre & post"
"736",233,"HURM","Yes","Yes","pre","ssi",14,"i6","Strongly agree","Interest","6",2025-10-03 10:17:42.371,"11th Grade (Junior)","No",5,"pre & post"
"737",233,"HURM","Yes","Yes","pre","ssi",15,"c5","Somewhat disagree","Competence","5",2025-10-03 10:17:42.371,"11th Grade (Junior)","No",2,"pre & post"
"738",233,"HURM","Yes","Yes","pre","ssi",16,"c6","Somewhat agree","Competence","6",2025-10-03 10:17:42.371,"11th Grade (Junior)","No",4,"pre & post"
"739",233,"HURM","Yes","Yes","post","feelings_change_after_sciexpo",NA,NA,"I saw a lot of my interests being showcased.","feelings_change_after_sciexpo",NA,2025-10-28 10:03:50.213,"11th Grade (Junior)","No",NA,"pre & post"
"740",233,"HURM","Yes","Yes","post","likely_become_scientist",NA,NA,"Somewhat likely","likely_become_scientist",NA,2025-10-28 10:03:50.213,"11th Grade (Junior)","No",4,"pre & post"
"741",233,"HURM","Yes","Yes","post","represented_in_science",NA,NA,"Somewhat represented","represented_in_science",NA,2025-10-28 10:03:50.213,"11th Grade (Junior)","No",3,"pre & post"
"742",233,"HURM","Yes","Yes","post","sciexpo_most_valuable_aspects",NA,NA,"Human body anatomy being showcased.","sciexpo_most_valuable_aspects",NA,2025-10-28 10:03:50.213,"11th Grade (Junior)","No",NA,"pre & post"
"743",233,"HURM","Yes","Yes","post","sciexpo_other_comments",NA,NA,"N/A","sciexpo_other_comments",NA,2025-10-28 10:03:50.213,"11th Grade (Junior)","No",NA,"pre & post"
"744",233,"HURM","Yes","Yes","post","sciexpo_what_to_improve",NA,NA,"N/A everything was fine the way it was","sciexpo_what_to_improve",NA,2025-10-28 10:03:50.213,"11th Grade (Junior)","No",NA,"pre & post"
"745",233,"HURM","Yes","Yes","post","ssi",1,"p1","Somewhat disagree","Peformance","1",2025-10-28 10:03:50.213,"11th Grade (Junior)","No",2,"pre & post"
"746",233,"HURM","Yes","Yes","post","ssi",2,"c1","Somewhat disagree","Competence","1",2025-10-28 10:03:50.213,"11th Grade (Junior)","No",2,"pre & post"
